"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"39","global","discharge","event","east","largescale","acknowledge","wildlife","remedy","spend","disease","crowd","business","provide","distance","fit","sunday","sanitizer","recommend","covering","mandatory","check","beach","encourage","maintain","wash","get","power","force","moment","worker","territory","requirement","johnson","hong","place","statement","establishment","council","open","social","business","december","austria","part","area","gottlieb","suspend","swiss","park","shop","leave","risk","lockdown","st","closure","consider","mix","allow","transmission","center","get","lift","include","pregnant","restaurant","reopen","venue","event","effective","visitor","reopen","release","dashboard","must","enter","mitigate","regard","week","focus"
"40","identify","scientist","infectious","care","antiviral","immediate","medicine","little","money","leave","health","household","rather","check","client","operator","pandemic","focus","safe","check","freedom","rule","actually","use","intense","several","save","almost","group","arizona","party","event","france","nurse","move","lockdown","ban","sunday","country","lockdowns","conte","effect","unless","service","regional","suspend","slow","december","plan","tier","open","nurse","decision","wilson","feb","virtual","sturgeon","people","inslee","decline","phase","person","district","scotland","greek","access","statewide","without","must","stadium","mandate","unvaccinated","executive","begin","fight","project","research","senate","level"
"41","still","handle","virus","central","sometimes","winter","change","estimate","violate","trump","someone","share","kill","reflect","gate","singapore","spray","household","protection","salon","can","physical","maintain","pool","confine","twitter","november","measure","crowd","impose","use","major","nearly","event","england","germanys","inside","mayor","move","new","also","school","social","close","time","except","british","must","outdoor","school","university","restriction","subject","relax","tyrol","classroom","source","control","decree","allow","implement","major","spring","commencement","proof","lockdown","gym","outdoor","disney","statewide","unvaccinated","distance","california","work","follow","version","senior","gavin","threat"
"42","worldwide","responsible","thing","within","outbreak","transmit","respiratory","initially","detail","like","robert","cdc","transportation","center","lebanon","hand","indoor","face","evaluate","park","point","engage","mayor","socially","foot","risk","virus","cdc","encourage","tweet","curfew","curfew","end","kong","service","philadelphia","visit","short","household","allow","school","nonessential","nationwide","announce","rule","regional","jan","curfew","period","surge","nonessential","frances","sunday","tight","wear","district","stay","bar","ease","curfew","must","move","many","semester","nfl","able","vaccinate","start","restaurant","table","include","mcmaster","mandate","take","involve","antibody","wane","yorker","friday"
"43","numb","sicken","care","time","west","deep","find","compare","tweet","nonmedical","nose","spread","distance","piece","distance","society","trial","park","material","york","possible","practice","possible","close","direction","fast","crowd","growth","cover","risk","contact","citizen","york","will","new","angela","permit","curfew","business","hour","capacity","social","england","school","religious","lockdown","remain","action","previously","wave","shop","place","indoor","austria","business","court","physical","class","grade","rate","make","local","ease","grade","rollout","france","service","news","ohioans","program","area","situation","sign","end","lab","piece","authorization","mcconnells","anyone"
"44","influenza","majority","like","mean","fail","significant","time","telework","evidence","xue","journal","strategy","transport","hand","secure","move","employee","produce","room","security","approximately","online","gather","mandatory","physical","family","maintain","direct","pandemic","district","space","performance","spike","agree","prime","minister","capacity","police","add","thursday","announce","outside","freeze","detail","movement","extension","reopen","precautionary","five","prompt","strong","prime","reduce","rule","chancellor","implement","consistent","essential","restrictive","friday","statement","additional","club","prompt","mask","local","theater","people","limit","operate","allow","local","office","test","mandatory","say","expect","announce","recommend"
"45","number","suggest","diagnose","scientist","different","disinfect","word","acknowledge","police","kerkhove","kerkhove","sick","trump","will","victim","increase","everyone","cdc","sign","protective","temperature","clean","civil","gov","judge","space","outside","mandatory","move","gov","per","french","look","restaurant","city","authority","mandatory","lockdowns","johnson","include","enter","transport","museum","hour","venue","curfew","dine","ambulance","decide","per","press","concern","ban","regulation","shop","personnel","implement","outbreak","pm","low","low","ahead","community","everyone","spokesperson","everyone","philippines","york","festival","resume","facility","move","may","vaccination","online","note","cdc","percent","hear"
"46","spread","infection","deadly","part","arizona","top","collect","clean","agencys","guideline","scarf","guidance","message","spot","clinic","make","air","design","possibly","select","travel","use","brian","spread","reduce","put","prove","ohio","potential","stay","need","capacity","will","september","zealand","desantis","like","service","announce","indoor","ban","ban","inslee","delivery","curfew","northern","bubble","pm","date","mainland","bbc","council","visitor","indoor","isolation","limit","resume","visitor","student","change","emergency","kindergarten","toronto","cuomo","australia","virus","implement","guideline","fully","delaware","full","june","today","new","policy","clear","seek","ongoing","enter"
"47","stop","old","small","disinfection","central","action","example","problem","climate","evidence","temperature","mouth","control","space","authority","company","build","large","middle","order","quarantine","person","practice","signal","maintain","region","tell","rule","pass","space","require","cultural","region","can","desantis","winter","school","leader","unless","time","coronavirus","local","town","area","place","area","surge","hotel","april","exception","whole","pm","frederiksen","attend","rule","bar","measure","interaction","venue","include","staff","tenant","limit","fall","league","news","mask","can","july","pm","update","july","mean","vaccinate","press","definitive","emergency","necessary","requirement"
"48","however","north","mers","middle","understand","build","control","spread","medicine","reserve","expose","usually","large","can","temperature","ryanair","point","domestic","like","screen","read","space","read","adams","mix","shop","white","send","quickly","droplet","put","july","distance","extend","auckland","close","nationwide","johnsons","extend","impose","area","restrict","countrys","funeral","medium","park","essential","tighten","will","move","tighten","approval","mask","korea","house","color","walensky","gym","district","restriction","gov","limit","fall","event","accord","plan","proof","state","news","bar","fully","advise","open","people","quickly","soon","dos","attend","implement"
"49","likely","hospitalize","rate","change","epidemiologist","along","list","may","situation","debate","goal","nose","center","start","customer","headquarter","prevention","use","fall","can","kid","require","enforce","inside","customer","supermarket","without","request","issue","embassy","paris","implement","continue","woman","wear","government","wednesday","london","people","conference","order","must","time","prohibit","reduce","school","gym","mix","take","april","netherlands","spokesperson","give","large","measure","positivity","place","kid","negative","cnns","office","originally","lockdown","return","service","hogan","start","open","reopen","rule","individual","reopen","vaccine","avoid","region","track","look","de","nurse"
"50","learn","week","special","potential","find","join","article","patient","help","patient","clean","khan","travel","announce","hotel","article","screening","world","impose","risk","remote","somebody","visitor","building","comply","athlete","high","two","person","brian","time","authority","another","resort","support","press","maximum","add","greece","transport","virus","gym","travel","rule","must","enter","require","ban","message","february","avoid","need","contact","reduce","challenge","moderate","allow","stringent","fitness","close","measure","meal","university","provide","lockdown","gym","pm","andrew","facility","full","say","athlete","place","mandatory","restriction","university","public","missouri","apply"
