"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"11","infeção","suspeito","cabral","cabral","joão","bolsonaro","negativar","infetado","negativar","centrar","infetados","santo","região","funcionários","refeições","saúde","positivo","acumular","isolamento","misericórdia","caso","positivar","ativos","elevar","santo","saúde","ano","novo","últimas","madeirar","novo","positivo","hoje","madeirar","moçambique","região","ativos","açores","cabo","açores","miguel","alentejo","últimas","novo","regional","mulher","norte","óbitos","mulher","morte","morte","norte","valar","vítimas","valar","hora","óbitos","centrar","madeirar","óbitos","madeirar","açores","recuperações","recuperações","positivo","tejo","díli","miguel","total","açores","norte","positivo","recuperações","ilhar","registar","mulher","dois","dois","norte","sexo","tejo","novo","miguel","registado","sexo","algarve","últimas","novo","óbitos","mulher","feminino","dois","tejo","valar","valar","regional","acordar"
"12","homem","mulher","estefânia","confirmar","suspeito","positivar","hospitalar","centrar","saúde","misericórdia","centrar","doente","amostra","rastrear","dia","militar","resultado","azambuja","santiago","infeção","concelho","surtir","alentejo","santo","total","óbitos","novo","mulher","positivo","total","doença","chinar","hora","recuperado","miguel","autoridade","cabo","cincar","registar","importado","norte","novo","mulher","hora","algarve","açores","valar","homem","açores","crescimento","óbitos","novo","centrar","faixar","óbitos","açores","açores","açores","hora","recuperado","açores","desde","tejo","recuperado","tejo","centrar","açores","total","açores","ativos","registar","infeções","madeirar","registar","dr","madeirar","madeirar","novo","morte","mulher","madeirar","valar","homem","lisboa","recuperações","tejo","valar","tejo","alentejo","recuperações","masculino","óbitos","mulher","positivo","três","açores","acreditar"
"13","análises","ficar","dar","direçãogeral","positivar","joão","infetado","negativar","misericórdia","doente","aveiro","concelho","ilhar","caso","instituições","caso","recuperado","odivelas","ministério","amostra","profissional","quatro","dois","realizado","lar","madeirar","internado","óbitos","infeções","informar","região","registar","informar","ilhar","autoridade","ministério","registar","três","açores","novo","hora","norte","valar","registado","dois","alentejo","tejo","lisboa","óbitos","registado","alentejo","centrar","novo","idade","algarve","ano","regional","alentejo","algarve","homem","díli","madeirar","ano","novo","angola","valar","centrar","positivo","sarscov","regional","recuperado","alentejo","últimas","cincar","açores","valar","registar","registar","dois","registar","luanda","cincar","hora","hora","ano","últimas","tejo","ativa","algarve","delgado","região","lisboa","algarve","mulher","óbitos","miguel","acrescentar"
"14","suspeito","isolamento","joão","testar","internar","caso","unidade","dor","infetado","sintoma","doente","lisboa","infeção","resultar","regional","infetados","total","trabalhador","transmissão","ativos","cabo","concelho","testar","doente","madeirar","província","ilhar","hora","ilhar","cabo","açores","madeirar","importado","chinar","novo","importado","infeções","cabo","hora","norte","morte","positivo","tejo","morte","total","algarve","local","açores","novo","alentejo","restante","alentejo","ilhar","tejo","lisboa","regional","dois","registado","total","angola","desde","algarve","positivo","miguel","valar","positivo","arquipélago","homem","ativos","recuperado","díli","novo","norte","hora","novo","três","lisboa","últimas","últimas","valar","valar","quatro","regional","idade","açores","três","registado","norte","madeirar","miguel","novo","registado","regional","autónoma","hora","ativos","adhanom"
"15","negativar","realizado","suspeito","dgs","hospitalar","maria","confirmar","testado","centrar","negativar","funcionários","infetados","negativar","unidade","residente","transferido","idoso","recuperado","lourar","ipo","évora","caso","homem","últimas","últimas","homem","saúde","três","homem","província","elevar","total","novo","cabo","acumular","últimas","últimas","positivo","algarve","tejo","ativos","miguel","regional","açores","ano","centrar","importado","norte","registar","algarve","lisboa","morte","chinar","etária","açores","algarve","miguel","ano","ano","alentejo","miguel","confirmado","norte","valar","transmissão","ilhar","total","dr","novo","hora","novo","óbitos","luanda","norte","recuperado","registar","hora","morte","valar","últimas","açores","ativa","últimas","norte","regional","valar","registar","hora","quatro","pontar","miguel","detetados","lisboa","regional","arquipélago","dr","adiantar"
"16","resultado","instituto","dois","saúde","doente","santo","mulher","funcionários","infetados","concelho","positivar","região","açores","ilhar","comunicar","praia","ativos","cordão","infeção","testar","funcionários","doente","rainho","santiago","recuperado","últimas","encontrar","registar","óbitos","saúde","informar","vigilância","doente","autoridade","total","sexo","angola","hora","mulher","miguel","positivo","transmissão","óbitos","recuperado","lisboa","morrer","lisboa","registar","morte","miguel","regional","registar","lisboa","mortal","novo","ilhar","ano","últimas","homem","novo","amostra","valar","madeirar","desde","boletim","açores","regional","santo","algarve","total","guangdong","regional","doença","miguel","dois","cincar","óbitos","regional","etária","lunda","ano","registado","transmissão","total","tejo","alentejo","alentejo","quatro","lisboa","boletim","registado","registar","positivo","gracioso","gracioso","alentejo","administrativo"
"17","sintoma","testar","biológicas","mulher","astúrias","infetado","coronavírus","febre","rapaz","município","saúde","sales","guinébissau","instituições","concelho","visita","amostra","praia","informar","instituição","local","hospital","internado","casar","oito","miguel","elevar","angola","arquipélago","positivo","chinar","açores","arquipélago","maputo","terceirar","ativos","importado","angola","acumular","registado","total","registar","transmissão","total","ativos","positivo","etária","quatro","últimas","centrar","vítimas","iorque","morte","sexo","alentejo","registado","norte","morte","lisboa","doente","arquipélago","tejo","açores","mulher","ilhar","lisboa","referir","lisboa","amostra","ano","regional","total","açores","valar","boletim","tejo","miguel","valar","algarve","regional","moxico","região","algarve","algarve","últimas","quatro","algarve","sete","registado","tejo","valar","mulher","ativos","associado","norte","três","admitir"
"18","novo","ricardo","dom","doente","testar","hospitalar","centrar","novo","instituição","infetado","unidade","funcionários","covid","cidade","negativar","realizado","covid","registar","ativos","serviço","internado","seis","infetadas","hora","ministério","três","ministério","saúde","maputo","santo","ministério","local","elevar","infeções","angola","madeirar","praia","ano","novo","chinar","tejo","mulher","novo","algarve","valar","dois","alentejo","dois","algarve","ilhar","registado","chinar","registar","registar","arquipélago","últimas","alentejo","algarve","três","infetados","tejo","homem","miguel","dr","alentejo","saúde","infeções","hora","confirmado","guangdong","hora","hora","valar","delgado","ano","angola","alentejo","três","homem","alentejo","hora","lisboa","positivo","doente","três","transmissão","óbitos","recuperações","outro","doente","positivo","ativos","alentejo","últimas","morte","quatro","adoção"
"19","paciente","dois","curry","paciente","contactar","análises","primeiro","unidade","maria","municipal","casar","unidade","santo","tejo","saúde","positivo","casar","lourar","nampula","conhecer","casar","idoso","concelho","recuperado","quatro","acumular","iasaúde","miguel","cabo","diagnosticar","importado","diagnosticado","cumulativo","homem","açores","hora","reportar","elevar","positivo","óbitos","alentejo","regional","alentejo","tejo","recuperado","vítima","faixar","sexo","hora","faixar","miguel","arquipélago","zonar","centrar","regional","morrer","infeções","lisboa","mulher","lisboa","norte","ilhar","total","registado","lisboa","óbitos","últimas","três","positivo","valar","infeções","recuperações","huambo","sete","registado","dr","morrer","transmissão","novo","positivo","lisboa","dois","mulher","masculino","cincar","dois","intensivo","restante","transmissão","algarve","últimas","positivo","homem","centrar","ano","doente","adquirir"
"20","dgs","resultado","amostra","negativar","negativar","saúde","exame","confirmar","câmara","funcionários","municipal","realizado","infetados","laboratórios","caso","acumular","doente","testado","cincar","quartafeira","serviço","fmivps","covid","região","surtir","unidade","positivo","transmissão","saúde","transmissão","cabo","novo","acumular","mulher","importado","contabilizar","morte","recuperado","contabilizar","ler","faixar","valar","lisboa","positivo","positivo","novo","autónoma","alentejo","alentejo","regional","quatro","algarve","vítimas","norte","idade","mulher","amostra","novo","norte","total","concelho","arquipélago","homem","autoridade","doença","boletim","restante","recuperado","ano","centrar","transmissão","últimas","confirmado","registado","lisboa","sexo","centrar","tejo","alentejo","quatro","miguel","sexo","registado","vítimas","feminino","óbitos","lisboa","alentejo","mulher","valar","arquipélago","delgado","miguel","hora","dr","algarve","aérea"
