"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"12","reinar","chinar","morrer","chinar","chinar","coreia","pessoa","números","aumentar","novo","subir","novo","infetados","registado","véspera","país","morrer","registado","novo","infetados","desde","infeções","infetados","país","início","total","brasil","áfrica","áfrica","desde","mortal","total","novo","desde","novo","novo","desde","desde","novo","infeções","novo","novo","novo","início","país","país","número","número","pandemia","início","início","número","infeções","desde","boletim","boletim","boletim","infeções","óbitos","óbitos","infeções","país","total","pandemia","infeções","número","pandemia","segundar","número","unido","infeções","óbitos","infeções","óbitos","dia","novo","total","infetados","recuperado","infeção","ministério","elevar","ministério","total","tomé","novo","associado","novo","acumular","coronavírus","total","recuperado","morto","rússia","últimas","hora","acreditar"
"13","mundo","hubei","infetados","infetados","vítimas","pessoa","morto","subir","vítimas","total","boletim","vítimas","morrer","país","registado","infeções","vítimas","infetados","registado","áfrica","vítimas","mortal","início","óbitos","país","infeções","estado","brasil","infeções","novo","infetados","vítimas","país","novo","desde","óbitos","novo","país","confirmado","coronavírus","áfrica","país","total","infeções","infeções","total","infeção","início","início","dia","infeções","infeções","descer","recuperado","país","infeção","dia","país","infeções","vítimas","contágios","coronavírus","contabilizar","novo","infeção","milhões","morrer","desde","anterior","doença","ativos","novo","infeção","registado","infeção","doença","óbitos","morto","últimos","recuperado","coronavírus","coronavírus","novo","ministério","óbitos","tomé","novo","recuperado","desde","início","infetados","acumular","rússia","balanço","coronavírus","coreia","acrescentar"
"14","frança","filipina","janeiro","hubei","registar","sul","itália","positivo","confirmado","país","aumentar","país","pessoa","confirmado","infetados","óbitos","mortal","desde","infeções","confirmado","mortal","vítimas","vítimas","início","áfrica","desde","região","desde","mortal","estado","brasil","índia","registado","início","início","morto","registado","total","áfrica","vítimas","início","início","morto","pandemia","contabilizar","início","novo","coronavírus","mundo","pandemia","contabilizar","estado","boletim","boletim","coronavírus","infeções","baixar","aumentar","início","morrer","infeção","novo","coronavírus","morto","início","infeções","início","índia","novo","coronavírus","elevar","recuperado","infetados","país","ativos","registado","dia","ministério","infetados","ministério","infeção","desde","infeção","associado","coronavírus","coronavírus","infeções","infetados","coronavírus","novo","associado","coronavírus","divulgado","mundo","mundo","país","adhanom"
"15","infetadas","maioria","infeção","país","subir","registar","coronavírus","ontem","positivo","óbitos","óbitos","confirmado","registado","vítimas","confirmado","elevar","confirmado","mortal","país","desde","infeções","óbitos","confirmado","menos","infeção","estado","infetados","país","contabilizar","mortal","registado","desde","dado","áfrica","méxico","confirmado","confirmado","infetados","total","morto","coronavírus","contabilizar","contabilizar","desde","infeção","contabilizar","pandemia","total","número","infeção","número","início","início","coronavírus","morto","registado","contágios","início","confirmado","infeções","contabilizar","milhões","morto","infetados","morto","morto","país","ministério","dia","total","coronavírus","número","ministério","doença","início","infeções","infetados","infeção","acumular","moçambique","ativos","boletim","início","áfrica","infetados","príncipe","doença","contágios","recuperado","infeções","acumular","ministério","dado","números","divulgado","rússia","adiantar"
"16","coreia","sars","mortal","ano","total","países","vítimas","total","país","infetados","mortal","véspera","confirmado","óbitos","recuperado","desde","infetados","infeções","infeção","mortal","confirmado","estado","mortal","áfrica","estado","elevar","hora","unido","estado","vítimas","áfrica","estado","desde","boletim","unido","registado","início","registado","pandemia","mortal","contabilizar","pandemia","infeção","mortal","morto","vítimas","morto","contabilizar","contabilizar","total","números","unido","registado","país","anterior","ontem","país","morto","morrer","coronavírus","doença","estado","infetados","morrer","coronavírus","registado","novo","doença","índia","covid","pandemia","dado","doença","internado","recuperado","boletim","contágios","segundar","boletim","infeções","novo","morto","doença","desde","príncipe","associado","moçambique","total","rússia","recordar","desde","início","início","morto","infeção","total","administrativo"
"17","pessoa","ultrapassar","frança","pessoa","novo","irão","últimas","itália","mortal","pessoa","vítimas","infetados","país","boletim","país","confirmado","pessoa","vítimas","dado","elevar","registado","país","pessoa","coronavírus","desde","brasil","unido","novo","infetados","nova","desde","mortal","confirmado","estado","ontem","infetados","total","recordar","contabilizar","total","vítimas","registado","dado","vítimas","coronavírus","áfrica","registado","novo","estado","anterior","méxico","morto","pandemia","morto","áfrica","dia","morrer","áfrica","ontem","brasil","total","infeção","ontem","coronavírus","morrer","pandemia","infeção","infeções","áfrica","estado","registado","elevar","índia","milhões","infeções","dado","pandemia","ativos","ativos","coronavírus","dado","áfrica","dado","infeção","ilhar","moçambique","início","início","doença","balanço","continente","mortal","unido","doença","morto","dado","admitir"
"18","japão","hong","subir","província","infeção","infetadas","registado","chinar","infetados","registado","país","subido","óbitos","subido","covid","mortal","desde","áfrica","confirmado","vítimas","elevar","confirmado","dado","infetados","elevar","país","confirmado","méxico","vítimas","país","país","novo","região","país","confirmado","áfrica","pandemia","pandemia","país","morrer","país","números","pandemia","contabilizar","pandemia","mortal","números","anterior","ultrapassar","país","subir","mundo","coronavírus","autoridade","dia","ativos","início","recuperado","morto","mortal","coronavírus","dia","pandemia","infeções","covid","infeção","contágios","número","ontem","milhões","covid","infetados","covid","infeção","doença","país","subir","covid","covid","pandemia","associado","infetados","boletim","ativos","novo","contabilizar","ministério","doença","pandemia","acumular","coronavírus","registado","segundar","registado","afp","acordar","adoção"
"19","estado","recente","ocorrer","ocorrer","unido","alemanha","países","morrer","registado","aumentar","pessoa","registado","subir","aumentar","boletim","morrer","menos","morrer","estado","registado","contabilizar","coronavírus","elevar","vítimas","pessoa","maior","vítimas","vítimas","total","total","total","região","maior","registado","registado","país","vítimas","confirmado","coronavírus","dado","pessoa","infeção","coronavírus","registado","menos","infeção","boletim","contágios","doença","segundar","covid","contabilizar","dia","registado","infeção","recuperado","menos","ontem","aumentar","autoridade","covid","pandemia","áfrica","dado","registado","habitante","mil","moçambique","pandemia","brasil","recuperado","registado","início","fevereiro","país","áfrica","início","recuperado","dado","início","infetados","doença","associado","dado","desde","desde","ilhar","africanar","registado","desde","moçambique","número","registado","óbitos","dgs","segundar","adquirir"
"20","finlândia","subir","filipina","frança","coreia","afp","alemanha","últimas","óbitos","recuperado","infetados","mortal","aumentar","infeções","áfrica","pessoa","áfrica","covid","unido","unido","infetados","infetados","coronavírus","estado","dado","contabilizar","dado","total","unido","ultrapassar","índia","infetados","estado","infetados","vítimas","nova","morrer","áfrica","vítimas","infetados","balanço","dado","estado","áfrica","anterior","pandemia","contágios","registado","ontem","morto","morto","boletim","contabilizar","início","menos","baixar","coronavírus","relação","infetadas","pandemia","estado","morto","número","número","índia","anterior","boletim","contágios","covid","índia","infetados","acumular","contabilizar","segundar","milhões","internado","ativos","desde","infeção","segundar","país","pandemia","continente","acordar","africanar","recuperado","segundar","acumular","início","contabilizar","elevar","novo","total","infetadas","hora","novo","aérea"
"21","chinar","acordar","registar","registar","infeções","itália","números","pessoa","subido","boletim","recuperado","recuperado","recuperado","áfrica","desde","covid","registado","país","covid","pessoa","estado","registado","estado","confirmado","região","recuperado","país","contabilizar","pandemia","norte","segundar","início","início","região","infetados","dia","boletim","ontem","milhões","maior","mil","elevar","segundar","anterior","ontem","segundar","elevar","infeção","pessoa","alemanha","coronavírus","internado","internado","pessoa","outubro","dado","registado","morrer","contabilizar","infeção","pandemia","acordar","milhões","segundar","segundar","infetados","covid","mundo","infeção","contabilizar","país","ontem","ativos","subir","moçambique","recuperado","recuperado","infeções","registado","elevar","número","registado","pandemia","novo","recuperações","doença","infetados","desde","áfrica","pandemia","moscovo","mundo","infeção","provocado","provocado","unido","aéreas"
