"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"21","necessidade","usar","vários","pedido","direçãogeral","assegurar","funcionários","cliente","carril","simplificar","decretar","revelar","linha","regime","proteção","act","municipal","setor","bancário","trabalhar","condições","redução","mil","urgente","bruxelas","declarações","empresa","questionar","apoiar","comunista","contingência","substituição","tudo","contribuir","públicos","vítima","oe","empresa","ver","agravar","fundar","movimentar","grande","europeu","pã´r","deixar","pleno","partilhado","ana","dizer","vieira","voltar","sugerir","futurar","euro","recurso","ter","superior","revelar","oliveira","prisional","vão","próxima","reabertura","semana","odemira","lisboa","ficar","regional","final","jogar","algum","comunicar","medida","funcionários","desrespeitar","distrito","setembro","impedir","web","guardian","próprio","atirar","to","fechar","negócios","nº","provocar","negativar","aumentar","onde","dois","formar","mantém","exercício","dgs","aéreas"
"22","casar","ser","irão","esgotar","república","procurar","funções","atendimento","iefp","comércio","cultura","república","redução","empregar","pagamento","aprovado","salários","faturação","redução","psd","líder","fiscal","euro","itália","kristalina","aplicado","ocorrer","lisboa","poder","combater","âmbito","reportagem","cama","atravessar","assunto","votar","fiscal","empregar","recurso","comprar","hotelaria","passear","pão","ajudar","trabalhar","medido","ursula","illa","segurança","trabalhador","podar","diminuir","significativo","trabalhador","salientar","realização","países","vacinação","rodrigar","escolar","medina","funcionários","autarquia","luso","público","reabertura","conferência","braga","estar","futebol","horários","considerar","sábado","aberto","ligeiro","pública","luso","covid","kong","been","august","cumprir","to","who","robalo","serviço","estará","causar","agora","associação","mil","adiantar","rapidamente","lar","divulgar","jornal","aeronave"
"23","ser","estado","taxa","sistema","comprar","medida","pagamento","higiene","serviços","regime","serviços","cgtp","segurança","sindicato","financeiro","segurança","teletrabalho","crédito","propor","orçamento","prolongar","aprovar","votar","crise","agravar","apoio","portuguãªs","haverá","militar","realizar","comunista","praia","massa","cem","receitar","comercial","observador","orçamento","impactar","retirar","internar","mil","greve","câmara","conselho","nome","faturação","candidatar","ensinar","importância","plano","filipe","comprar","euro","vaticano","sentir","assumir","creche","regressar","condições","fazer","pessoal","atividades","secundária","agendado","evento","taça","oms","incidência","desportivo","condições","garantir","festa","desta","fila","pandemia","ligeiro","invernar","prevenir","bento","vulneráveis","comité","fechar","pobre","ontem","unido","contactar","conseguir","decisão","isolado","formar","país","conjuntar","podar","falhar","positivar","aeroporto"
"24","nacional","situações","face","entregar","trabalhar","acompanhante","comunicar","distribuição","apoiar","parcial","excecionais","preços","crise","garantir","empresarial","âmbito","faturação","costa","desconhecer","pagar","pacote","contra","juízes","mobilidade","sánchez","algarve","marcelo","decisões","pagamento","distanciamento","realizar","público","pedrar","janeiro","abrigar","dia","prever","propor","pretender","dinamarca","recentemente","visons","encerramento","milhões","perder","investimento","sanitária","porque","vieira","mês","crise","prova","apoiar","tempo","soar","verão","josé","direçãogeral","autotestes","superior","gratuito","rádio","secundário","eurocidade","aula","centro","concluir","reunião","direçãogeral","exemplo","governar","realização","notar","hora","ensinar","operação","suspenso","comprar","colaborador","consenso","fronteirar","transportar","fatores","prazo","vacinado","economia","exposição","tender","qualquer","televisão","chegar","planar","ciclo","distanciamento","analisar","prisional","afetadas"
"25","segurança","proteção","evitar","durante","chusj","plano","horário","horários","contratar","valor","godinho","operador","simplificar","vieira","processo","deputado","atividade","quebrar","tirar","apoio","camarinhar","euro","isenção","milhões","amarelar","câmara","sousa","pedir","iraniano","sobrar","iniciativa","lugar","fiscalização","depender","clínico","espaço","trabalhador","valor","março","discussão","perder","polícia","recolher","economia","líderes","joacine","comunicação","semanal","empresa","siza","associação","pandemia","pandemia","responder","apoiar","sobrar","liberdade","sns","vender","ministrar","antar","reabertura","docente","atividade","ciclo","aluno","questões","permitir","apontar","inglãªs","alto","festival","ler","manhã","enfermeiro","notar","autarca","sobrar","quadrar","has","fatores","cimeiro","imunização","cujo","vírus","quarentenar","ir","positivar","adiantar","aplicado","estudante","mundial","juiz","tornar","melhor","recluso","afetados"
"26","vez","receber","realizar","ásia","higiénico","hospital","proteção","trabalhar","limpeza","comunicar","comunicação","livreiro","mendes","subsídio","planeamento","órgãos","pedir","isenção","beneficiar","incentivar","complementar","direito","carneiro","financeiro","profundar","notar","atual","concelho","assistencial","participante","música","policial","programar","desportivo","dez","sala","animal","execução","ofertar","errar","recuperação","protestar","comércio","comércio","december","contra","continente","juntar","superior","atividade","consumar","milhões","maioria","produto","thierry","países","pereira","todo","fazer","esclarecer","autarquia","transportar","todo","todo","exterior","consulta","poder","estádio","responsáveis","correr","restaurante","ruir","autoridade","polícia","ter","portar","heroísmo","utilização","efetuado","have","terçafeira","site","adiar","frequentar","encerrar","durante","saúde","aplicar","declarações","ciclo","pedido","acesso","utilização","colocar","conselho","sporting","afirmar"
"27","referência","cercar","médico","madurar","luva","cliente","portar","medida","inscrever","distância","mendes","desempregar","regime","trabalhar","euro","proteção","solução","superior","programar","suplementar","isabel","medido","voto","lourar","rutte","espanhóis","futurar","sales","comerciante","rali","álcool","desportivo","celebração","permitir","presença","norma","iva","manutenção","salário","ir","tornar","rossio","ponto","consumar","regime","ano","civil","ir","mãªs","podar","euro","famílias","aumentar","rápidos","secretáriogeral","antunes","violência","rodrigar","podar","próxima","fim","fazer","freguesia","turismo","rir","ensinar","assinatura","global","carlos","fazer","pública","joão","explicar","centrar","municipal","durante","visita","nível","morar","jardim","tanto","cuomo","aceder","september","infetou","vacinado","fazer","contactar","escrever","independente","recurso","porque","picar","declarar","diminuir","profilático","afp"
"28","material","cujo","controlar","usar","publicar","mínimo","utente","procurar","públicos","tolerância","comissões","empresar","act","governar","bruxelas","cultura","setor","be","portugal","complementar","salários","pedir","políticas","europeu","contar","residual","andar","castelo","socialdemocrata","evento","alcoólicas","pedido","auto","face","chefe","entrar","constar","joão","afeta","outubro","lisboa","praia","faturação","petição","polónia","considerar","nordeste","durante","parlamentar","vieira","regime","repetir","reduzir","especialista","eventual","qualquer","rápidos","garantir","direçãogeral","aprendizagem","programar","ginásios","regressar","chave","lotação","através","público","cursar","município","governar","posição","tempo","extremar","comunicar","noturna","vigor","comunidade","evento","that","duplicar","enviado","daquela","circulação","sanções","ligado","problema","algum","estrangeiro","marcelo","tiago","económico","novembro","existir","recurso","defender","urgência","áfrica"
"29","serviço","politécnico","países","afp","procurar","áreas","consulta","segurança","prazo","produto","contenção","redução","associação","processo","pã´r","setor","investimento","prorrogação","anúncio","recurso","despedimento","subsídio","crise","direito","ministro","fonte","características","ir","avante","ar","morador","beber","utilização","ir","cercar","última","leão","transferência","imunitário","elevar","união","criticar","fim","psp","dizer","defender","momento","nordeste","estarão","livro","ministrar","contratação","vidar","respostar","atual","questionado","cautela","grupo","contactar","rastrear","trabalhador","estabelecimento","portuguãªs","distância","baixar","dizer","cidadãos","encerrado","benfica","decisão","público","rádio","policial","adepto","concelho","lê","documento","identificar","tempo","mogadouro","conferência","intervenção","psp","distribuição","be","viagem","desta","sentir","investigador","medida","visita","vacinar","norma","deputar","universidade","jornada","agência"
"30","assegurar","leiria","observador","guerra","papel","atividade","higiene","atividade","serviço","funções","transportar","segurança","momento","publicidade","mil","entidade","primeiroministro","vieira","solidariedade","conselho","insuficiente","mensalidade","escolar","decisão","próximos","máximo","empregador","regra","tal","melhor","contra","âmbito","identificação","alertar","cujo","vigor","prevê","pergunta","prejuízo","provavelmente","apoio","mear","observador","siza","sobrar","vieira","papar","condições","restauração","equipamento","produto","preparar","passar","contacto","precisar","germano","escola","proteção","realização","presencial","estudante","fase","educação","comunidade","porque","desportivo","falar","nações","escola","polícia","segurança","juntar","planeamento","começa","residência","portanto","referência","infetado","estrangeiro","infetadas","mear","perguntar","paciente","adulto","david","decisão","dia","famílias","duração","sociedade","cenário","terceirar","seis","atentar","positivo","estruturar","agências"
