"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"30","worldwide","late","cambodia","sweden","confirm","report","will","passenger","air","african","facility","exit","warn","restriction","play","return","macron","blame","country","camp","lockdown","city","contain","growth","country","look","say","meet","rest","total","total","impose","evidence","pm","arrest","say","festival","keep","relative","village","involve","recently","delirium","wash","get","negotiation","negotiation","american","billion","communication","package","osterholm","action","joe","psaki","action","joe","jen","harris","assistance","federal","potentially","friend","transmission","cnn","government","boost","francis","lot","combat","legal","four","newsom","confirm","access","fully","administration","really","israel"
"31","singapore","unite","russia","numb","territory","greece","belgium","russia","travel","taiwan","autopsy","budget","crisis","appear","wieler","baseball","australia","player","team","maharashtra","surround","official","province","acknowledge","disease","fight","epidemic","one","cooperation","week","regional","territory","five","enforcement","define","list","fully","deborah","defend","freedom","ali","test","congress","warn","congress","give","get","agreement","sander","job","antibody","incoming","press","job","former","will","increase","psaki","tax","today","hold","psaki","money","need","thursday","billion","train","queen","establish","et","rep","need","interaction","curb","accord","delta","life","like","spahn"
"32","malaysia","global","kingdom","vietnam","meanwhile","america","america","union","fly","air","refrigerate","capacity","bond","hygiene","cost","global","ghebreyesus","member","among","importance","meat","beijings","report","possible","pandemic","china","isolate","lombardy","directorgeneral","five","border","past","practice","violence","emphasize","wave","red","visitor","instal","protocol","khamenei","case","face","administration","line","house","push","round","income","texas","supply","regular","will","benefit","democratic","need","member","joe","sign","small","aim","know","someone","nation","benefit","supply","relate","sba","rep","law","table","due","please","average","account","variant","slow","much","every"
"33","severe","hong","sars","cambodia","vietnam","sweden","poland","hopkins","minister","london","trailer","commission","vladimir","loosen","robert","regard","permanently","propose","suggest","impact","test","mother","ever","life","city","centre","declare","convention","parliament","authority","director","numb","face","population","work","just","spokesman","confirm","rio","hill","slovakia","voter","amid","airline","thanksgiving","issue","provision","small","march","read","professional","azar","provide","democratic","senate","trillion","party","democrat","dependent","way","office","story","praise","significant","several","work","ward","universal","enforcement","pay","oppose","public","swing","curfew","act","datum","press","think","vulnerable"
"34","france","singapore","central","ship","reach","macedonia","finland","johns","spain","bavaria","medically","progress","video","dr","piece","association","speak","cut","like","read","supply","nhc","figure","confirm","investigation","locally","acknowledge","powerful","populous","border","lockdown","positive","discuss","south","widespread","canadian","stretch","arrive","bogota","quick","supreme","official","mother","year","another","agree","manchin","democrat","increase","support","focus","focus","jen","direct","rep","wage","go","hopeful","rule","fund","service","biden","privacy","leader","across","event","area","cruise","expedite","personal","progressive","low","unemployment","hogan","action","us","actually","call","old"
"35","syndrome","majority","finland","cruise","lagos","norway","czech","impose","call","angela","inmate","response","spread","minority","assistance","response","agree","response","un","us","cfs","race","worker","report","together","elective","director","split","home","facility","figure","spread","cover","drive","london","mother","subject","spot","conte","obviously","arkansas","now","gate","still","member","leader","struggle","aide","night","cause","work","jen","take","economic","yellen","white","hold","put","round","leader","package","particularly","soon","secretary","another","system","strong","start","pm","greet","swaminathan","likely","adopt","seasonal","activate","ability","dangerous","lead","information"
"36","less","detect","lanka","macao","china","romania","border","south","foreign","fight","recovery","clinical","russian","eat","factory","play","german","statement","reduction","discuss","fruit","reproduction","locate","fresh","unprecedented","august","double","rely","isolation","populous","ashley","drop","infect","september","relevant","populous","unclear","worldwide","regulation","prevalence","umrah","live","alert","option","economic","side","democratic","jobless","send","trump","quickly","provide","work","sen","richmond","put","light","saturday","use","trillion","quickly","keep","american","approach","break","per","impose","woman","shock","violence","equitable","add","downward","effort","actively","able","disinformation","health","dr"
"37","disease","toll","nepal","central","world","tunisia","portugal","portugal","countrys","traffic","employee","der","size","risk","stay","warn","league","sense","victory","relatively","salmon","transmit","insist","brazil","wave","local","senior","red","travel","transmission","nationwide","appear","test","close","apply","ron","wife","often","day","estimate","include","story","survey","dekalb","now","leadership","pass","veto","receive","help","american","coronavirus","distribution","counterproposal","raise","confusion","trillion","remember","leader","vote","without","extend","early","now","schaffner","need","application","resume","sen","oppose","friday","even","happen","benefit","acute","abroad","republican","back","press"
"38","nepal","people","sri","territory","belarus","denmark","kingdom","foreign","declare","ambassador","response","leyen","pray","face","organization","vote","member","add","bangladesh","work","visit","import","significant","five","russia","create","control","solidarity","community","close","hour","french","hour","three","power","loan","husband","quarter","impossible","imperial","middle","run","video","busy","fail","get","hill","economic","leader","send","order","clear","ask","production","benefit","know","sen","vice","eligible","credit","president","soon","shut","researcher","position","location","cylinder","branch","vice","crime","however","news","loosen","june","add","access","thursday","claim","recommendation"
"39","kill","lockdown","belgium","russia","spain","belgium","estonia","italy","africa","chancellor","return","von","immediate","wear","propose","fall","africa","need","nation","lift","zunyou","emerge","region","distance","son","eye","respond","explain","election","end","transport","previously","require","road","three","responsibility","daughter","de","doctor","combat","police","area","nurse","drop","nancy","shutdown","final","leave","majority","member","include","official","shot","work","lawmaker","happen","hike","guideline","aide","fema","cause","help","party","biden","mission","ontario","choice","socially","act","many","illinois","department","reiterate","measure","additional","accord","help","friend","start"
