"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"23","segundar","aéreas","madeirar","pouco","protecção","portugal","ine","em","terá","subsídio","ajudar","entrever","completar","detectar","caso","descarregar","meianoite","dezembro","registado","até","nova","estrangeirar","anunciar","francãªs","agostar","dois","oriundo","comissão","optar","sul","assintomáticos","se","adiado","sobrar","trabalhador","distanciamento","às","parar","campanha","pcp","famílias","políticos","poder","deputar","antónio","debater","sobrar","março","cuidador","psd","internado","abertura","abrir","psd","presidente","parar","declaração","condições","reunião","base","terçafeira","respeitar","durante","decretado","exemplo","admitir","expressar","controlar","várias","centrar","juntar","ventilação","portugal","desportivo","que","educação","testagem","espaços","espaços","almada"
"24","mais","completar","longo","em","em","unido","impactar","estrangeiro","ano","produto","alemão","grécia","ler","mercado","abastecedor","recebao","oriundo","alto","aumentar","região","onde","restante","grande","balir","paciente","semana","consecutivo","desde","exterior","carlos","província","cidade","fixar","francisco","segundafeira","delegado","presidente","primeiroministro","empresa","desobediência","perder","recurso","presidente","decisão","sobrar","liberal","rodrigar","costa","ivo","cds","futurar","psd","geral","portuguãªs","empresa","prevê","eduardo","tanto","lei","sobrar","campeão","trabalhador","sobrar","pagamento","odemira","enfermeiro","adicional","gestão","movimentar","vez","respostar","duarte","ficar","venturo","agência","rever","outro","rever","raquel","orta"
"25","desde","principal","em","médicos","dinheiro","mínimo","dólares","ir","estrangeiro","valor","frança","mensal","em","xinfadi","detectar","universidade","monumento","semana","milhões","novo","infecções","noroeste","membro","registar","confinamento","obrigatório","activar","atingir","restrições","que","infectado","nenhum","guangdong","com","assinalar","presidencial","comunicação","apoiar","sábado","política","estar","bastonário","oito","renovação","haver","que","aprovar","desconfinamento","assembleia","partido","situação","infarmed","equipa","vieira","constitucional","portuguãªs","jornalista","educação","declarar","nomeadamente","dizer","distância","analisar","turístico","apelar","freitas","ali","suspeito","privar","fonte","unidade","avaliar","povo","momento","aberta","gastar","ou","situações","obrigatoriedade","almadaseixal"
"26","açores","dia","registar","petróleo","procurar","provocar","se","longe","durante","março","semana","pib","ou","animal","nortevestefália","conter","melbourne","indicar","melbourne","chamado","oeste","onde","obrigatório","infectado","quarentenar","exterior","victoria","local","morte","exterior","activar","alto","até","políticos","das","vacinação","congresso","parlamentar","associação","pedir","considerar","assentar","luís","ordem","não","escola","criança","medida","testagem","ps","momento","apontar","entrar","necessário","aderir","cultura","andré","assegurar","sobrar","geral","restrições","cabo","bom","economia","crise","optar","tentar","responsável","continuado","internado","neste","insa","bastonário","director","administrativo","metropolitano","certificado","presencial","públicos","pediatria"
"27","este","chinãªs","cair","fevereiro","méxico","procurar","pouco","europa","março","ler","venda","exportações","média","encerrar","vários","assinar","registar","total","caso","capital","nordeste","nova","venezuelano","sul","estar","início","melbourne","fixar","dia","somar","autoridade","hora","hora","depois","viagem","às","desempenhar","sobrar","trabalhador","sobrar","crianças","planar","não","pan","se","permitir","ps","votar","bom","economia","assinalar","não","humano","mariano","páscoa","actividade","deputado","internar","defender","câmara","da","frente","voltar","controlar","por","organizações","medido","centrar","violência","de","mercar","junho","rápidos","positivo","criticar","realização","testar","vieira","obrigatório","pediátrica"
"28","portugal","perda","acima","dos","lugar","artigo","próximos","revelado","venda","recessão","espanha","aumentar","estrangeiro","hora","novo","link","populoso","contágio","de","província","melbourne","detectar","províncias","maio","local","agostar","número","início","hora","hora","diagnosticar","receber","estabilizar","não","antónio","aplicação","audição","infarmed","sextafeira","vacinação","montar","iniciativo","ministro","situação","parar","lembrar","violência","manuel","informal","silvar","se","primeiroministro","estratégia","apoio","aprovar","cinema","cabra","político","medida","internar","festa","debater","cabra","num","afectado","reabrir","utilização","isto","programado","permitir","um","vacinação","referir","infecção","cuidar","encontramse","comunitária","ciclo","facultativo","autoridade"
"29","redução","índice","então","timorleste","retomar","divulgar","cair","passar","quedar","terrestre","cair","mês","março","preocupação","aumentar","casar","início","em","onde","noroeste","diários","registar","local","ilhar","comissão","em","receber","aumentar","atingir","restrições","nordeste","novo","região","parar","notícia","factor","reunião","políticos","agente","também","parlamentar","praia","se","rodrigar","apoio","iniciativo","governar","internamento","continuar","qualquer","abrir","deputado","vez","esse","apesar","teatro","silvar","marítima","propor","forte","várias","emergência","cds","comunicar","publicado","recear","exemplo","autónoma","rastreio","macron","acontecer","incidência","avaliar","infectar","data","pessoal","independentemente","referencial","riscar","urgência"
"30","das","psi","procurar","produção","abril","pouco","diminuir","ano","reuters","fronteirar","bori","venda","espanha","temperatura","nível","pdf","estará","consecutivo","noroeste","relatar","contágio","hora","confinamento","número","asiático","gravar","austrália","autoridade","crescimento","receber","chinãªs","três","turista","cientista","parlamentar","direito","portugal","passagem","apresentado","pev","prorrogação","máscara","próxima","especialista","dizer","silvar","primeiroministro","deputado","respostar","tempo","economia","assembleia","decretar","falar","privada","medida","vincar","prr","de","dizer","ter","chefe","pcp","pedir","número","comprometer","assegurar","universitário","cancro","trabalhador","decidir","leite","capacidade","sempre","limitado","equipar","cirúrgica","educador","que","homem"
"31","surtir","aeroporto","voar","amigo","comprar","portuguãªs","negócios","sector","tráfego","confinamento","instituto","subido","abril","alto","disseminação","medida","importado","vagar","registar","mais","contra","capital","últimas","março","fixar","país","início","anunciar","local","alteração","país","mil","estatísticas","rtp","reunião","regra","entrar","poder","operador","responsabilidade","psd","solidariedade","pandemia","silvar","deputar","assembleia","destacar","manter","assunto","que","vacinado","dia","tudo","caminhar","fase","planar","presidente","onde","antónio","desconfinamento","ser","responder","título","condições","sobrar","sinovac","confinamento","director","joão","abril","existência","internamento","imunização","que","motivar","isolamento","salivar","idade","ilha","amesterdão"
"32","da","portugal","quase","português","artigo","actual","mercar","conseguir","espanhol","cair","quarentenar","confinamento","quarentenar","nesta","mercado","detectar","link","início","victoria","em","oriundo","quarentenar","dia","causado","auckland","de","local","ler","dois","tomada","sem","país","detectado","ouvir","contágios","sextafeira","escolar","alívio","perguntar","ruir","votar","às","governar","sousa","eleições","bancada","permitir","não","prematuro","pev","avaliação","rebelar","escola","período","habitação","reunião","se","linha","base","emergência","pública","segurança","aqui","um","espanhol","díli","formar","são","praia","impactar","ministério","situações","evitar","quartar","reforçar","conhecer","isolamento","recomendar","entanto","sad"
