"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"11","cancel","anger","try","response","source","drive","build","use","medical","cuomo","cuomo","test","penny","say","andrew","de","new","memorial","cdc","contact","governor","reopen","mask","restaurant","bar","suarez","mandate","city","level","local","gathering","delus","social","measure","bar","protest","business","bar","restaurant","pm","restaurant","passenger","lockdown","gathering","indoor","valley","case","impose","require","sturgeon","flight","variant","measure","prime","enter","february","french","england","change","outdoor","area","ease","province","ceremony","country","death","supply","party","gujarat","são","contact","government","increase","quarter","concern","wear","place","league","less"
"12","medium","police","speech","expulsion","face","north","korea","blood","production","new","nurse","swab","mask","equipment","employee","mask","employee","city","de","threshold","de","business","july","york","indoor","positivity","party","distance","social","korean","ban","jeanpierre","case","business","israel","suarez","allow","indoor","level","japan","except","zone","los","christmas","curfew","stayhome","restaurant","minister","flight","tough","test","college","traveler","respondent","government","authority","curfew","minister","without","seoul","campaign","curfew","travel","travel","patient","modi","medical","government","case","ministry","scientific","park","try","region","hear","mask","party","wrong","france"
"13","holiday","censorship","whistleblower","pompeo","political","wuhan","wilson","equipment","say","de","ship","patient","governor","distribute","test","city","say","governor","gov","festival","reopen","wear","dine","bar","people","gov","say","sheriff","zealands","auckland","case","international","gathering","bar","rule","seat","limit","lockdown","allow","restaurant","bar","pm","adelaide","order","london","angeles","newsom","ban","minister","lockdown","british","border","prime","variant","will","prime","variant","order","restriction","french","home","macron","test","outdoor","supply","record","pradesh","district","epidemic","recover","rise","department","step","note","half","low","traveler","without","positive"
"14","population","social","journalist","major","emergency","korean","australian","donate","federal","personal","protective","nurse","kit","supply","pritzker","new","state","mayor","mayor","new","order","blasio","governor","indoor","new","bar","beach","gathering","de","cluster","face","visitor","kong","government","prime","social","curfew","enter","local","store","allow","leave","stevens","toronto","ski","stay","singapore","england","pcr","measure","french","france","british","restaurant","arrive","ski","record","person","allow","permit","country","travel","allow","erdogan","capital","prime","india","indias","treat","patient","case","county","rise","home","say","test","brazilian","person","gather"
"15","beijing","crisis","president","information","diplomat","outbreak","search","food","protective","medical","deploy","de","blasio","release","de","court","hospital","day","test","department","city","restaurant","restaurant","houston","miami","order","city","face","island","gathering","government","resident","kcdc","people","alert","mask","international","alert","uk","melbourne","business","indoor","authority","county","activity","los","los","suspend","detect","new","curfew","test","new","flight","country","measure","place","entertainment","wear","lockdown","authority","home","tokyo","wave","party","ministry","bed","supply","modi","government","refer","proportion","public","help","case","guidance","stay","return","income"
"16","see","death","wuhan","whistleblower","approach","china","rita","hotel","company","bed","bed","state","desantis","player","blasio","bright","equipment","party","restaurant","governor","mask","face","mandate","say","gelber","governor","order","indoor","bloomfield","city","church","march","seoul","september","government","oct","korea","tier","place","remain","able","lockdown","police","open","start","icu","wale","traveler","kingdom","travel","nhs","government","hong","france","restaurant","minister","outdoor","sport","return","certificate","northam","school","event","place","case","countrys","shortage","hospital","telangana","taiwan","greek","astrazeneca","clear","release","home","member","olympic","contact","global"
"17","day","become","freedom","government","epidemic","south","use","chain","military","say","help","governor","equipment","ice","new","video","theater","reopen","deploy","bill","bill","require","state","governor","de","state","outdoor","state","york","indoor","kcdc","trip","distance","limit","measure","reopen","industry","restaurant","gathering","home","red","ship","announce","pm","pm","open","area","passenger","new","restriction","citizen","measure","zealand","country","mandatory","border","authority","health","must","test","past","rule","pm","festival","wave","party","indian","territory","goa","island","alphabet","respondent","walensky","monday","outside","remove","regardless","severe","respond"
"18","chinese","economy","chens","beijing","giant","epidemic","driver","say","patient","stockpile","new","protective","new","florida","gown","employee","governor","employee","must","nyc","state","texas","florida","mask","fine","cuomo","social","island","extend","jun","indigenous","fight","september","sunday","visa","allow","require","british","service","premier","stay","victoria","california","limit","reduce","activity","angeles","sunday","arrival","government","whitty","hancock","flight","traveler","zone","uks","quarantine","coronavirus","ban","will","strict","shop","japans","rise","death","daily","record","uttar","ministry","beijing","payment","vaccination","professor","research","positive","chronic","pregnant","due","return"
"19","market","online","qiushi","journal","jinping","yoon","actor","need","personal","ship","use","supply","hospital","antibody","room","tass","mayor","stage","county","covering","employee","cuomo","cuomo","will","outdoor","dine","convention","public","blasio","travel","measure","church","local","israel","cabinet","capacity","effect","london","indoor","traveler","local","restrictive","border","capacity","impose","restaurant","lockdown","test","cuba","scottish","arrival","home","variant","government","travel","victoria","prime","will","export","allow","paris","sport","relay","minister","high","bjp","state","nepal","taiwans","rapid","health","account","variant","asian","practice","ventilation","tedros","like","traveler"
"20","across","epidemic","economy","wall","delivery","face","canadian","donation","use","protective","defense","need","fda","train","healthcare","checkpoint","grime","worker","reopen","face","face","order","wear","require","news","average","milwaukee","mayor","business","military","must","kcdc","visitor","airport","rise","officer","maximum","minister","bar","ease","leave","nonessential","nonessential","province","stayhome","business","region","negative","arrive","johnson","variant","british","ministry","england","ban","lift","infection","police","prepare","maximum","holiday","pm","korea","monday","modi","minister","crisis","prime","wave","taiwans","world","increase","england","combine","weekly","school","child","airport","poll"
