"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"34","canadian","information","cooperation","provide","concern","morrison","influenza","leyen","act","pandemic","powis","minister","probably","adhanom","piece","question","wuhan","development","pandemic","change","new","company","cluster","leave","add","direct","offer","federal","treasury","letter","immigration","move","check","agreement","another","campaign","month","million","street","sector","go","johnson","positive","relief","government","mean","ensemble","individual","bill","investor","balance","go","possible","chen","friend","pledge","outside","short","increase","recommendation","question","trudeau","de","review","janssen","potential","application","extend","apart","administration","childrens","extend","reiterate","author","last","mask","campus","now","start"
"35","christmas","russia","saturday","phone","still","african","transmission","community","humanitarian","several","unity","extension","criticize","union","recent","organization","wha","comment","limit","mandatory","control","far","directorgeneral","significant","case","majority","staff","apart","enhance","negotiation","didnt","senator","clean","much","two","economic","reserve","month","loss","weigh","diagnosis","pass","high","speech","support","federal","major","october","heart","nasdaq","murray","rule","able","violate","force","begin","though","water","high","mayor","job","liability","tell","immunization","tts","multiple","hear","consent","get","potential","pfizerbiontech","past","batch","contribute","mask","low","cdcs","academy","face"
"36","secretary","british","mask","country","opportunity","nigeria","director","add","acknowledge","french","commitment","outbreak","role","coordinate","among","medium","zhong","group","gather","december","surround","coronavirus","lockdown","threat","lam","deal","money","secretary","economic","support","capitol","payment","house","come","country","every","americas","september","million","uncertainty","deny","gather","street","nasdaq","gao","available","year","composite","late","slightly","confinement","film","open","spanish","authority","steve","space","win","city","get","distribution","organization","health","advisory","label","update","standard","expect","understand","approve","meet","covid","conduct","power","year","case","oklahoma","georgia","issue"
"37","around","affair","situation","outbreak","step","important","alarm","child","virus","statement","rare","spahn","foreign","extra","president","outbreak","handle","security","include","government","trace","sunday","series","coronavirus","investigate","meadow","billion","capitol","deliver","deal","macron","rental","ahead","month","aid","open","stock","point","still","alongside","barrel","effort","market","pyongyang","plane","send","prison","investor","support","sp","respondent","medically","summer","champion","grow","largely","story","space","will","facility","buy","research","newspaper","evaluation","walensky","emergency","safety","wednesday","child","fda","month","note","like","provision","say","agree","requirement","issue","friday"
"38","ask","sunday","travel","prepare","epidemiologist","prepare","canadian","speak","new","know","investigation","theory","effort","read","comment","delegation","donald","effort","event","late","directorgeneral","directorgeneral","der","social","infrastructure","steven","senator","steven","additional","congress","session","top","measure","direct","assistance","online","drive","morning","now","californians","netherlands","program","roll","sp","trade","information","steve","labor","street","us","socialize","february","season","nba","park","circuit","announcement","cleveland","pandemic","month","history","threat","many","practice","risk","adverse","early","control","lot","placebo","efficacy","administration","thank","urgent","ability","away","hesitancy","tweet","keep"
"39","countrys","personal","assist","long","add","contain","allergy","eu","quarantine","criterion","message","say","geng","foreign","community","reference","eu","nation","take","wife","cfs","soldier","send","fresh","exactly","benefit","negotiator","thing","talk","fall","federal","relief","election","white","partial","official","negotiation","market","basis","pace","necessarily","leader","also","abbott","save","shortage","sale","court","contract","americas","definitely","able","dollar","force","pandemic","reveal","staff","star","new","nearly","hard","fast","beyond","symptom","cdcs","thrombocytopenia","manufacturer","pfizers","whether","emergency","effective","important","safety","relationship","able","billion","implement","provide","hutchinson"
"40","morrison","advice","director","import","need","globally","instagram","population","epicenter","gate","china","need","drink","western","attack","recent","claim","take","vietnam","movement","fruit","locally","resident","government","contain","commitment","nancy","bill","re","money","nancy","renter","offer","provide","criticism","dow","department","shop","instruct","bottom","cambridge","figure","low","foundation","federal","alliance","moderna","economist","without","press","add","day","violate","justice","chinese","sufficient","suspect","immigrant","come","benefit","message","actually","rollout","give","dr","tts","soon","rochelle","clear","need","adolescent","issue","employer","racial","abroad","breathe","practice","mandate","carolina"
"41","community","saturday","act","inform","fauci","term","fauci","van","level","confident","respond","conduct","global","deny","european","without","grow","army","upcoming","person","salmon","xinfadi","locate","tuesday","confinement","agreement","plan","chief","criticize","serve","jurisdiction","shock","billion","want","interest","nasdaq","thursday","earnings","swing","height","windsor","minister","stand","ride","continue","investor","unemployment","less","fly","balance","roughly","ongoing","australias","uefa","time","success","vaccination","kennedy","thursday","close","restrictive","renew","commission","emergency","make","require","decision","johnson","say","future","johnson","effort","seven","harm","access","describe","emphasize","guidance","mitigation"
"42","prepare","board","australian","mission","use","go","can","rita","say","harris","global","cooperation","wuhans","asian","push","call","political","beijing","soil","ask","visit","army","medical","virus","get","include","relief","progress","vote","cnn","democratic","exist","pass","try","taxpayer","sp","contact","investor","regulate","maskwearing","twice","large","mitch","energy","clear","trouble","help","receive","schedule","suppose","winter","year","nba","seven","super","premier","health","ms","monday","conference","hope","preparedness","doubt","whether","type","johnsons","schedule","adolescent","research","regulator","drug","dose","research","explore","accord","emerge","alabama","update","charter"
"43","office","citizen","however","press","infectious","increase","community","wilson","jacinda","question","german","solidarity","key","police","blame","donald","fund","coast","chancellor","place","chop","wuhan","understand","far","restaurant","blunt","vote","proposal","payroll","nigerian","next","agreement","assistance","member","invite","weigh","donald","tech","stand","staff","police","wall","flat","uptick","act","nasdaq","nasdaq","prison","struggle","procure","repeatedly","affect","riverside","stadium","rule","protocol","system","adopt","department","begin","fast","advise","virtual","janssen","experience","committee","expect","safety","dose","mark","review","thursday","treatment","misc","account","employee","florida","status","north"
"44","advice","able","coordinate","fund","high","director","anthony","wife","transmission","call","europe","subject","impact","global","delegation","pandemic","permanently","australias","hussain","fear","vegetable","deploy","local","different","one","negotiation","chief","table","eviction","schumer","week","act","deadline","talk","much","business","business","wake","provide","follow","claim","william","confirm","grassley","leader","sp","gym","couple","stimulus","ceo","cough","announce","pilot","government","story","overwhelm","supply","convention","also","add","pace","prayer","version","know","adviser","receive","immunization","administer","wednesday","group","food","approve","develop","unit","across","inside","recommend","unless","website"
"45","support","due","immunization","infectious","institute","fauci","virus","trace","wife","coronavirus","representative","crisis","disinfectant","relation","wet","diplomat","zhao","ever","situation","measure","health","mass","coronavirus","food","basic","test","schumer","package","actually","speaker","provide","scale","procedural","mcconnell","many","report","work","politician","mission","conservative","party","composite","wall","year","light","complain","critical","act","organization","legal","show","james","bach","day","place","wait","rollout","icus","test","little","holiday","attend","restrictive","tuesday","thrombosis","rochelle","poise","oliver","pfizer","already","walensky","median","previously","january","act","leave","immunization","greg","texas"
"46","area","back","fund","meet","contain","future","rate","infectious","much","image","achieve","yemen","solidarity","delegation","assertion","strain","foreign","independent","ryan","big","novel","transmit","new","distance","source","trump","insurance","far","mcconnell","recess","side","meet","resolution","round","jobless","circumstance","paper","jobless","jobless","worry","process","shortly","highly","market","chicago","charity","historic","contractor","another","never","summer","andrews","greg","sell","together","olympic","dos","verge","tuesday","go","lack","wait","minister","report","thrombocytopenia","ready","rare","pfizer","emergency","child","six","go","version","combine","action","monday","coronavirus","local","recommend"
"47","low","immigration","rest","conference","ready","think","test","adhanom","tough","republic","minister","role","reporter","maas","conceal","xinhua","big","side","accelerate","read","impose","local","observation","follow","effective","today","talk","remain","deal","ask","criticize","go","need","significantly","extend","topline","delivery","beat","recent","broad","boris","nasdaq","statement","stephen","dow","implementation","forecast","american","trump","pose","overall","schedule","hunt","man","hour","manner","contact","collective","around","criticize","take","hear","johnsons","vaccination","vote","email","full","tell","prevention","follow","daily","group","result","head","activate","precaution","passport","learn","order"
"48","want","northern","personal","difficulty","person","write","right","michel","ignore","coach","speech","congress","early","technical","harbor","censor","africa","late","solidarity","double","large","city","xinfadi","student","authority","will","enhance","cut","administration","return","meet","impact","letter","mitch","investigation","unemployment","labor","value","trade","hotspot","across","schumer","extra","never","accuse","datum","act","roughly","though","monday","industry","three","melbourne","return","local","season","two","skill","see","seasonal","specific","canadas","problem","schuchat","symptom","information","booster","whether","team","safety","hospital","fdas","site","poor","actively","product","speak","center","report"
"49","department","enter","korean","datum","preparedness","add","early","outbreak","australias","weekly","important","fight","trump","tesla","ratcliffe","origin","island","womens","handle","move","contain","people","cause","elderly","public","alexander","eviction","administration","speaker","executive","expect","measure","acknowledge","commerce","proposal","threat","jobless","benefit","mix","border","spokesperson","gupta","meal","politician","sp","eight","legal","tony","impact","trend","place","carry","officer","february","hong","zealand","even","salon","box","short","four","sputnik","around","state","report","decide","arm","director","johnson","moderna","discuss","johnsons","announce","drug","acute","ready","regardless","university","regardless"
"50","monitor","spokesperson","citizen","immediate","allergy","numb","sustain","island","commitment","expand","head","travel","security","origin","organization","affair","li","connect","intense","body","sell","emerge","measure","nhc","leader","create","trump","relief","payment","send","disability","multiple","happen","plus","adjust","labor","expire","ceo","unemployment","democrat","drop","mcconnell","meanwhile","incredible","consequence","guard","piece","eligible","team","economy","german","require","member","back","kong","cancer","follow","inflammatory","cell","cross","manufacture","baker","use","occur","disease","efficacy","bourla","coronavirus","meet","trial","need","version","adult","although","add","trace","time","setting","whether"
