"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"38","huanggang","facility","xi","italian","protection","league","line","australias","simple","owner","tv","important","maintain","weather","face","bank","church","right","ban","distance","spark","attend","protest","order","staff","shop","newsom","introduce","worry","threshold","participant","event","sign","jakarta","positive","sevenday","closure","government","space","record","netherlands","announce","place","serve","germany","extend","service","visit","allow","introduce","enforcement","lebanon","zone","case","impose","gradual","dunkirk","curfew","already","frances","number","shut","place","ontario","close","activity","lift","visit","lift","spain","city","city","legal","spread","requirement","effect","fully","hunt","abroad","enter","let","exemption","number","uptake","level","nearly","billion","bank","lead","ignore","woman","understand","effect","record","emergency","restriction","wave","sweden","capacity"
"39","medic","across","die","screen","family","staff","greece","see","re","necessary","necessary","reveal","now","mall","nearly","hit","restriction","prison","charge","justice","become","even","responsibility","like","statement","lleida","crowd","de","cancel","de","rise","mask","president","form","drive","governor","per","restriction","thursday","major","effect","say","public","outdoor","tighten","rate","shut","dutch","germany","japanese","stay","surge","nonessential","today","country","centre","germany","school","spread","contain","since","reopen","impose","date","continue","remain","summer","fall","eu","resume","will","summer","arabia","hope","effect","ministry","tourist","hungary","august","open","price","measure","uk","border","operate","education","unvaccinated","bolsonaro","vaccinate","window","become","ardern","view","emergency","situation","rise","measure","propose","urge"
"40","shortage","lockdown","woman","sick","step","medical","bad","disease","gathering","island","city","prime","pandemic","deny","case","crowd","journalist","arrest","bame","spark","justice","enforce","social","place","inside","indicate","will","crowd","district","buy","elsewhere","curb","face","head","marseille","introduce","hospitality","germanys","shop","sport","nationwide","public","cafe","remain","order","france","tighten","martin","force","church","february","extend","new","social","fear","athens","bar","ban","per","outside","rate","curb","public","bed","activity","social","may","italy","airport","bar","open","proof","create","introduce","return","move","home","lorry","open","green","drop","restrict","nhs","period","begin","reuters","brazil","brazils","want","explain","situation","brazils","begin","social","region","record","party","favour","wait"
"41","many","production","stay","wear","feel","relative","slow","germany","park","board","despite","physical","household","across","threaten","orbán","el","szumowski","cite","die","hundred","dutch","friday","lot","july","hunt","resident","attend","crowd","however","sport","ban","frances","outdoor","shop","reporter","woodward","place","people","sheinbaum","city","curb","high","indoor","country","infection","crowd","level","japan","neighbour","much","bar","travel","activity","wave","retail","prime","lockdowns","test","sankei","curfew","new","next","gathering","tough","museum","curfew","may","cabinet","germany","major","spain","flight","positive","proof","mexico","can","home","holiday","rule","visit","drop","allow","hong","need","industry","card","award","place","bet","jab","feature","public","distance","wieler","tackle","task","staff","hope"
"42","suit","capacity","four","ongoing","interview","basis","reason","aim","think","stay","face","disaster","africa","jail","bus","carry","away","philippe","delay","together","arrest","family","southern","dozen","suit","wash","concert","rather","precaution","hong","ban","rule","ceremony","cabinet","outdoor","though","coronavirus","limit","school","past","allow","pressure","stay","private","rate","italy","rule","teach","ease","limit","sale","avoid","arrest","emirate","two","interior","limit","movement","wave","news","contagious","three","across","fan","may","risk","pm","activity","flight","eu","july","remove","ban","thailand","briton","code","impose","must","raab","family","provider","day","pcr","domestic","day","virgin","unite","fraud","measure","ground","south","hairdresser","institute","important","per","distance","must","medical","yet"
"43","like","military","include","currently","presence","offer","financial","develop","wait","break","think","ease","apart","america","critic","commission","flag","side","us","large","leave","local","ask","prison","defy","camera","fuel","one","win","office","germanys","week","guardian","ease","three","resort","wave","theatre","avoid","dine","introduce","unit","extend","pm","premier","daily","tuesday","pub","daily","lockdowns","january","rule","capital","average","grow","gathering","weekend","border","impose","jean","introduce","city","italy","indoor","measure","close","confirm","israel","curb","greece","exempt","afp","time","vaccinate","airport","country","hard","resident","airport","move","allow","look","register","destination","numb","crow","bolsonaros","marcelo","safe","ap","period","uptake","service","countrys","rate","neighbour","vaccinate","hospital","amp"
"44","six","good","week","trial","restaurant","register","happen","time","speak","know","show","lockdown","normality","emergency","misinformation","procession","merkel","friend","county","demonstrator","nurse","fire","irish","limit","spain","physical","member","recommend","front","venice","euro","capital","correspondent","social","audience","paris","precaution","dutch","minister","midnight","pm","case","ministry","premier","outside","strict","decision","run","home","open","activity","new","britain","system","february","german","large","contagious","hospital","extend","area","country","closure","meet","red","death","new","loan","requirement","economy","remove","citizen","european","government","pcr","designate","red","passenger","will","greece","image","analyst","bar","company","due","bangladesh","delegation","state","across","file","cause","point","serious","healthcare","become","unvaccinated","vote","body","lead"
"45","one","local","find","australias","suggest","around","re","necessary","reporter","fail","tool","necessary","roll","canadas","clash","clash","detain","hand","rome","wear","can","kind","pacific","water","need","desantis","photo","meet","stock","hand","previous","ahead","leader","winter","mayor","several","cafe","must","stem","per","prime","remain","emergency","mask","number","greece","allow","midnight","travel","nonessential","german","abroad","government","gathering","owner","impose","partial","wave","official","cinema","december","frances","fit","activity","june","shut","maximum","destination","foreign","british","green","land","spain","passenger","student","shorten","widespread","holiday","overseas","sunak","act","conservative","pa","employee","sector","troop","remain","move","friday","online","appear","south","uptake","vote","rise","law","hard","telegraph","patient"
"46","another","medic","hand","huge","respond","local","spend","cabinet","like","advice","student","gather","gather","speech","mall","ministry","image","presidential","military","kill","condition","guest","business","australian","urge","obrador","together","pub","buy","one","social","step","race","netanyahu","measure","call","conference","german","stay","nonessential","hospital","business","allow","per","school","public","travel","limit","coronavirus","gathering","order","nonessential","wave","daily","funeral","economy","warn","april","since","average","morawiecki","situation","takeaway","capital","since","school","destination","dine","measure","outdoor","destination","furlough","opportunity","thai","arrive","pressure","popular","traffic","dominic","unless","subject","cut","business","home","shortage","shortage","isolation","see","direct","busy","good","th","social","relatively","record","next","fine","suffer","vital"
"47","send","sign","customer","crow","street","cope","even","free","avoid","minute","enforce","city","contain","lima","fine","nigeria","bill","conservative","riot","indigenous","dozen","climate","official","recommend","kemp","hand","san","break","respect","zone","become","spain","guideline","contain","spread","social","observe","introduce","germanys","november","say","numb","week","distance","europe","order","week","number","stay","prime","limit","limit","pm","include","dhabi","essential","strain","per","province","good","pm","rise","service","peak","lift","thousand","visit","allow","test","group","tourism","mumbai","citizen","cabinet","scheme","reuters","regardless","proof","variant","holidaymaker","advice","morning","green","due","plan","live","tuesday","drive","japan","gap","break","meet","face","health","coalition","everyone","market","want","thousand"
"48","local","use","sunday","city","saturday","share","train","similar","prince","area","administration","th","strategy","force","proper","detain","crowd","site","arrest","resolution","board","today","cover","test","order","age","california","city","salon","agriculture","local","tuesday","front","mayor","sport","case","alcohol","expect","wear","tight","hungary","milan","zone","celebration","household","sport","castex","extend","prime","yoshihide","tighten","minister","last","lift","fall","region","situation","wednesday","nonessential","france","gathering","return","capital","closure","depend","bolsonaro","news","ban","customer","portugal","certificate","within","shut","regulation","authority","also","need","story","due","rishi","ask","fully","wait","reason","infection","soon","isolate","money","secure","direct","family","careful","significant","europe","impose","area","regional","aim","social"
"49","cross","need","bed","doctor","create","far","institute","already","travel","australian","trip","nigeria","go","extend","mark","curfew","permanent","flag","peaceful","basso","guard","social","friend","attend","require","city","evidence","federal","decade","chain","outdoor","leader","stage","lift","neighbour","rule","romania","president","gym","slow","rutte","greek","large","household","new","nationwide","tell","period","limit","olympic","prime","far","enter","business","remain","area","force","grow","indoor","numb","switzerland","address","ban","sunday","closure","travel","tourist","outdoor","arrival","bubble","pm","business","prime","uae","country","citizen","department","arrive","let","foreign","look","strategy","uks","show","five","worsen","bank","waiver","unclear","build","due","priority","people","thursday","club","spread","recover","accord","compare"
"50","special","inside","domestic","start","see","spokesman","talk","now","suggest","security","home","allow","session","society","warn","criticise","food","worshipper","break","guardianaus","zoom","medium","foot","crowd","enforce","light","consider","cabinet","epidemic","trudeau","kong","guest","state","summer","number","three","tight","transport","robert","close","business","lorenzo","ease","school","capacity","cafe","strict","distance","tell","eve","across","chancellor","business","since","interior","situation","close","minister","nordic","will","austrias","home","shut","travel","forward","able","sector","spain","air","britain","ease","day","unvaccinated","secret","must","free","zealand","will","la","add","restriction","restriction","remove","really","provide","rival","white","still","ground","sense","member","light","restriction","december","negotiate","pass","parliament","support","three"
