"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"11","risk","monitor","prevent","service","response","us","bolsonaro","press","paul","watch","anthony","say","claim","force","flu","positive","dr","august","administration","important","crowd","director","young","white","think","briefing","force","deborah","white","change","redfield","get","people","vaccine","center","spread","season","get","get","director","follow","joe","institute","people","just","go","vaccinate","think","screen","arm","story","go","murthy","dominant","think","even","disease","go","director","center","virus","leak","unite","six","cdc","woman","submit","cdcs","food","adolescent","receive","company","severe","relate","quarter","teen","tanksley","business","county"
"12","officer","department","risk","refuse","secretary","official","contact","vice","guideline","vice","american","birx","say","governor","force","test","infectious","american","appropriation","infectious","trump","task","infectious","control","mcenany","say","infectious","back","trump","expert","think","white","can","director","anthony","center","american","thing","national","tell","just","disease","way","re","wear","holiday","able","national","vaccinate","travel","really","director","director","institute","measure","cdc","infectious","keep","guideline","science","director","likely","virus","johnsons","woman","administration","age","yearolds","center","drug","year","among","quarter","run","paper","economic","outreach","executive","executive"
"13","contact","dhs","newcastle","human","us","say","conservative","task","sen","force","go","distance","guideline","brief","brief","redfield","american","obrien","dr","carolina","institute","people","us","disease","white","house","president","task","clear","flu","director","infectious","anthony","infectious","droplet","control","vary","former","think","look","director","help","holiday","infectious","people","disease","moment","wear","holiday","re","re","re","administration","re","anthony","american","walensky","think","center","dr","friday","release","release","fda","administration","food","clot","meet","pfizer","blood","group","virus","fatigue","phase","make","initial","fiscus","kansas","lawsuit"
"14","department","obrien","identify","azar","defense","inslee","mike","penny","brief","guideline","force","donald","think","election","tell","hahn","secretary","penny","tell","house","important","control","see","economy","guideline","dr","re","go","thing","disease","get","spread","really","get","control","allergy","redfield","cnns","anthony","scott","break","still","thanksgiving","drink","director","thanksgiving","think","allergy","institute","cnns","infectious","anthony","go","vaccinate","say","institute","get","call","us","get","disease","human","nation","use","food","risk","drug","immunization","administration","authorization","fda","fda","year","mix","need","release","parent","lucas","message"
"15","security","individual","authority","travel","alex","remark","attendee","member","donald","birx","donald","want","american","american","day","mike","expert","mask","disease","transmission","thing","infectious","anthony","cdc","say","expert","important","gupta","need","giroir","expert","allergy","risk","never","way","kid","infect","death","allergy","think","life","go","much","go","know","american","collins","vaccine","say","real","warn","really","really","say","us","believe","american","like","good","rochelle","pandemic","possible","global","food","acip","among","approval","group","parent","clot","offit","meet","study","pediatrics","american","look","level","schmitt","system"
"16","monitor","trump","discrimination","visit","exercise","service","cpac","negative","mike","administration","reopen","cnns","economy","administration","focus","task","anthony","go","washington","institute","force","like","leader","prevention","speak","think","white","expert","think","many","even","strategy","tell","think","director","public","anthony","people","say","disease","bad","protect","want","outdoor","go","think","soon","good","us","just","vaccination","know","white","good","whether","right","re","want","wear","us","opinion","tuesday","origin","control","immunization","eua","company","administration","schedule","pfizerbiontech","pfizer","drug","facility","race","require","experience","benefit","news","vaccination"
"17","community","low","tarling","shortly","request","leader","test","rep","rand","go","brief","think","want","biden","american","person","discuss","disease","say","force","house","cdc","penny","anthony","nation","bad","tennessee","infectious","claim","bad","nation","infect","get","enough","prevention","national","center","many","watch","gottlieb","disease","cdc","allergy","want","message","watch","distance","say","air","mask","offit","allergy","disease","enough","white","biden","wear","back","control","anthony","gupta","spread","recommendation","meet","use","review","emergency","advisory","dr","administration","month","old","issue","negative","continue","morning","health","county","face"
"18","work","defense","make","traveler","threat","meet","administration","secretary","timeline","donald","peak","go","brief","ask","response","disease","obama","love","carolina","watch","reiner","anthony","expert","force","expert","re","think","kid","can","infectious","giroir","institute","many","american","know","prevention","know","go","lot","month","can","spring","american","risk","season","allergy","need","today","infectious","infectious","good","smell","thing","people","infectious","think","anthony","american","can","update","hypothesis","market","ioc","disease","practice","receive","authorize","us","old","experience","april","coronavirus","use","respond","last","require","conversation","missouri","along"
"19","case","authority","potential","review","human","task","aide","force","selfquarantine","cnns","penny","guideline","virginia","bill","source","selfquarantine","us","think","prevention","anthony","like","wen","mask","redfield","surge","good","thing","important","safe","response","know","cdc","house","may","particle","change","tell","anthony","wear","commissioner","us","infect","go","indoor","community","bad","gupta","town","cnns","allergy","board","murthy","house","ask","disease","infectious","vaccinate","bite","infectious","mask","center","team","extremely","recommendation","johnsons","us","eua","give","product","administer","virus","relate","test","consider","pandemic","risk","concern","mayor","sept"
"20","chief","homeland","respond","charge","train","brief","attend","physician","speak","extend","ask","force","administration","us","fauci","memo","top","republican","infectious","campaign","mask","wear","away","look","come","watch","house","force","anthony","safe","white","weekend","sure","robert","like","house","house","watch","thing","us","response","think","watch","anthony","try","people","rice","hall","allergy","vaccinate","want","say","sure","become","wait","prevention","way","slavitt","dr","people","former","tedros","carry","prevention","advisory","lift","yearolds","dr","drug","agency","look","datum","dose","city","since","disease","vaccination","indoor","reason"
